Event Title,ID,Tagged Page,"Jun 1, 2025","Jul 1, 2025","Aug 1, 2025","Sep 1, 2025","Oct 1, 2025","Nov 1, 2025","Dec 1, 2025","Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,329_prod,Email Sent Log,0,0,0,0,0,0,1,0,2,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,329_prod,Contracts - Disclosures & Amendments,0,0,0,0,1,0,0,0,0,0,0,1,0,0.15,2.0,0.0
Page View - Total Sessions,329_prod,Deal Finder,0,0,0,0,1,0,0,1,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,329_prod,Post-Sale Deposit Report,0,0,0,0,0,0,1,0,1,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Documents - Manual Upload,0,0,0,0,0,0,0,2,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Templates - Addenda,0,0,0,0,0,0,0,2,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,329_prod,Purchase Requests,0,0,0,1,0,0,0,0,1,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,329_prod,Contracts - Reporting - Sales Rep Performance,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Documents,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Demand Analytics,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Deposit Reporting (Legacy),0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Sales Grid Settings,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Setting - System Override,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Payments Reporting (Legacy),0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Marketing Assets - Color Scheme,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Marketing Assets - Floor Plates,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Marketing Assets - Floor Plans,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - New Deal Setup,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Email,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Price Model - Color & Custom Status,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,329_prod,Project Settings - Templates - Automated Emails,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Untagged Pages,3,67,73,92,69,204,149,236,355,303,51,19,9,125.38,1630.0,73.0
Page View - Total Sessions,423_prod,Purchaser Portal,1,19,22,22,30,141,83,156,228,109,0,0,0,62.38,811.0,22.0
Page View - Total Sessions,423_prod,Dashboard (test),1,32,43,54,22,42,47,55,77,126,28,8,0,41.15,535.0,42.0
Page View - Total Sessions,423_prod,Contracts Dashboard,1,32,43,54,22,42,47,55,77,81,0,0,0,34.92,454.0,42.0
Page View - Total Sessions,423_prod,Contracts - Deal Summary,0,14,19,29,16,25,37,40,81,151,29,5,0,34.31,446.0,25.0
Page View - Total Sessions,423_prod,Listings,0,13,12,25,10,24,36,35,68,71,0,0,0,22.62,294.0,13.0
Page View - Total Sessions,423_prod,Document: Sign in Person,0,11,5,13,8,16,25,22,36,48,11,0,0,15.0,195.0,11.0
Page View - Total Sessions,423_prod,Document: Developer Sign,0,1,9,7,3,1,2,5,12,40,4,2,0,6.62,86.0,3.0
Page View - Total Sessions,423_prod,Excel Reporting,1,13,6,12,4,10,11,9,14,6,0,0,0,6.62,86.0,6.0
Page View - Total Sessions,423_prod,Price model,0,12,21,14,2,0,0,0,0,0,0,0,0,3.77,49.0,0.0
Page View - Total Sessions,423_prod,Deal Finder,0,8,3,5,0,0,1,4,6,6,0,0,0,2.54,33.0,1.0
Page View - Total Sessions,423_prod,New Deal,0,2,2,0,1,1,1,2,2,4,0,0,0,1.15,15.0,1.0
Page View - Total Sessions,423_prod,Documents,0,1,0,0,0,0,1,4,2,1,0,0,0,0.69,9.0,0.0
Page View - Total Sessions,423_prod,Contracts - Disclosures & Amendments,0,3,0,0,0,0,0,1,0,2,1,0,0,0.54,7.0,0.0
Page View - Total Sessions,423_prod,Project Settings,0,0,1,2,0,0,0,0,0,2,0,0,0,0.38,5.0,0.0
Page View - Total Sessions,423_prod,Project Settings - Dashboard,0,0,1,2,0,0,0,0,0,2,0,0,0,0.38,5.0,0.0
Page View - Total Sessions,423_prod,Deposit Reporting (Legacy),0,1,0,0,0,1,1,0,1,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,423_prod,Purchaser Realtor Reporting,0,0,0,0,0,1,0,0,3,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,423_prod,Purchase Requests,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,423_prod,Contracts - Reporting - Sales Rep Performance,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Account/Developer/SettingBuildingNew,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Demographics Reporting,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Subjects Reporting,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Payments Reporting (Legacy),0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Project Settings - General,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Project Settings - Listing Setup,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Project Settings - Staff Management,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Project Settings - Templates - Addenda,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,423_prod,Project Settings - Templates - Emails,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Untagged Pages,9,62,46,96,156,104,44,73,101,108,116,87,137,87.62,1139.0,96.0
Page View - Total Sessions,407_prod,Dashboard (test),6,58,67,84,92,83,39,69,62,49,80,37,93,63.0,819.0,67.0
Page View - Total Sessions,407_prod,Contracts - Deal Summary,7,36,59,83,91,86,38,52,53,42,63,38,69,55.15,717.0,53.0
Page View - Total Sessions,407_prod,Contracts Dashboard,6,58,67,84,92,83,39,69,62,26,0,0,0,45.08,586.0,58.0
Page View - Total Sessions,407_prod,Document: Developer Sign,6,24,26,50,55,42,5,24,22,25,39,20,32,28.46,370.0,25.0
Page View - Total Sessions,407_prod,Deal Finder,3,20,35,61,70,53,28,29,30,11,0,0,0,26.15,340.0,28.0
Page View - Total Sessions,407_prod,Document: Sign in Person,2,12,16,29,29,13,5,13,10,11,14,18,11,14.08,183.0,13.0
Page View - Total Sessions,407_prod,Purchaser Portal,3,6,1,16,43,14,8,14,32,17,0,0,0,11.85,154.0,8.0
Page View - Total Sessions,407_prod,Excel Reporting,0,6,9,9,15,11,4,6,3,5,0,0,0,5.23,68.0,5.0
Page View - Total Sessions,407_prod,Project Settings,1,2,3,7,3,8,3,1,2,5,5,4,4,3.69,48.0,3.0
Page View - Total Sessions,407_prod,Project Settings - Dashboard,1,2,3,7,3,8,3,1,2,5,5,4,4,3.69,48.0,3.0
Page View - Total Sessions,407_prod,Project Settings - Staff Management,1,2,3,6,1,7,3,1,2,3,4,2,2,2.85,37.0,2.0
Page View - Total Sessions,407_prod,Documents,0,0,5,6,6,8,1,4,0,0,0,0,0,2.31,30.0,0.0
Page View - Total Sessions,407_prod,Contracts - Disclosures & Amendments,0,2,10,0,4,2,0,1,0,1,0,0,0,1.54,20.0,0.0
Page View - Total Sessions,407_prod,Email Sent Log,0,0,4,4,0,5,0,3,1,0,0,0,0,1.31,17.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Documents - Manual Upload,0,1,0,0,1,2,0,0,0,2,1,2,0,0.69,9.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Templates - Addenda,0,1,0,0,0,2,0,0,0,2,1,0,1,0.54,7.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Options - Map Options,0,0,0,1,0,2,0,0,0,2,0,0,1,0.46,6.0,0.0
Page View - Total Sessions,407_prod,Price model,0,1,1,2,1,0,0,0,0,0,0,0,0,0.38,5.0,0.0
Page View - Total Sessions,407_prod,Account/Developer/SettingBuildingNew,0,0,0,0,0,1,0,0,1,0,0,0,2,0.31,4.0,0.0
Page View - Total Sessions,407_prod,Leads dashboard,1,0,0,1,1,1,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Listing Setup,0,0,0,0,0,1,0,0,1,0,0,0,2,0.31,4.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Realtor Commission,0,0,0,0,2,1,0,0,0,1,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Templates - Automated Emails,0,0,0,0,0,1,0,0,0,2,0,0,1,0.31,4.0,0.0
Page View - Total Sessions,407_prod,New Deal,0,0,0,0,0,0,3,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,407_prod,Project Settings - New Deal Setup,0,0,0,0,0,2,0,0,0,1,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,407_prod,Project Settings - General,0,0,0,0,0,0,0,0,0,2,0,0,1,0.23,3.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Templates - Emails,0,0,1,0,0,0,0,0,0,1,0,0,1,0.23,3.0,0.0
Page View - Total Sessions,407_prod,Demographics Reporting,0,0,1,0,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,407_prod,Open and Sign Documents,0,0,0,0,0,0,2,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,407_prod,Listings,0,1,0,0,0,0,0,1,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Documents - Order & Visibility,0,1,0,0,0,1,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Email,0,0,0,0,0,0,0,0,0,1,0,0,1,0.15,2.0,0.0
Page View - Total Sessions,407_prod,Purchase Requests,0,0,0,0,1,0,1,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,407_prod,Offplan Map,0,0,0,1,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Sales Center - Reserved Listings,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Selection Worksheets,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Marketing Assets - Floor Plates,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Marketing Assets - Floor Plans,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Price Model - Color & Custom Status,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Profile Questions,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Project Settings - Webhooks,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,407_prod,Purchaser Realtor Reporting,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Untagged Pages,18,112,148,104,177,73,44,39,41,162,131,107,65,93.92,1221.0,104.0
Page View - Total Sessions,468_prod,Dashboard (test),14,92,94,63,85,53,26,34,28,102,98,77,44,62.31,810.0,63.0
Page View - Total Sessions,468_prod,Contracts - Deal Summary,10,83,90,59,82,48,36,21,13,91,87,87,39,57.38,746.0,59.0
Page View - Total Sessions,468_prod,Contracts Dashboard,14,92,94,63,85,53,26,34,28,66,0,0,0,42.69,555.0,34.0
Page View - Total Sessions,468_prod,Document: Sign in Person,7,25,39,29,37,24,14,8,5,31,27,25,5,21.23,276.0,25.0
Page View - Total Sessions,468_prod,Document: Developer Sign,4,33,35,16,30,16,13,2,7,31,31,24,19,20.08,261.0,19.0
Page View - Total Sessions,468_prod,Purchaser Portal,3,17,35,31,84,13,8,4,2,20,0,0,0,16.69,217.0,8.0
Page View - Total Sessions,468_prod,Deal Finder,2,19,8,13,10,13,14,17,2,35,0,0,0,10.23,133.0,10.0
Page View - Total Sessions,468_prod,Price model,2,17,12,19,9,0,0,0,0,0,0,0,0,4.54,59.0,0.0
Page View - Total Sessions,468_prod,Email Sent Log,4,15,14,2,7,3,3,3,0,2,0,0,0,4.08,53.0,3.0
Page View - Total Sessions,468_prod,New Deal,0,0,8,2,5,3,1,6,9,19,0,0,0,4.08,53.0,2.0
Page View - Total Sessions,468_prod,Project Settings,0,0,0,0,0,1,1,8,7,10,6,5,2,3.08,40.0,1.0
Page View - Total Sessions,468_prod,Project Settings - Dashboard,0,0,0,0,0,1,1,8,6,10,6,5,2,3.0,39.0,1.0
Page View - Total Sessions,468_prod,Excel Reporting,1,4,0,7,3,0,2,4,1,1,0,0,0,1.77,23.0,1.0
Page View - Total Sessions,468_prod,Project Settings - Staff Management,0,0,0,0,0,0,0,6,2,4,0,1,0,1.0,13.0,0.0
Page View - Total Sessions,468_prod,Documents,0,0,4,2,1,2,1,0,0,0,0,0,0,0.77,10.0,0.0
Page View - Total Sessions,468_prod,Account/Developer/SettingBuildingNew,0,0,0,0,0,0,0,3,4,1,0,1,0,0.69,9.0,0.0
Page View - Total Sessions,468_prod,New Deal grid ,0,0,5,1,3,0,0,0,0,0,0,0,0,0.69,9.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Listing Setup,0,0,0,0,0,0,0,3,4,1,0,1,0,0.69,9.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Documents - Manual Upload,0,0,0,0,0,0,0,1,3,2,0,2,0,0.62,8.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Templates - Emails,0,0,0,0,0,1,0,2,1,1,1,2,0,0.62,8.0,0.0
Page View - Total Sessions,468_prod,Contracts - Disclosures & Amendments,0,1,0,0,0,1,1,1,0,2,0,0,0,0.46,6.0,0.0
Page View - Total Sessions,468_prod,Open and Sign Documents,0,0,0,0,0,2,0,0,0,0,3,1,0,0.46,6.0,0.0
Page View - Total Sessions,468_prod,Listings,0,0,1,0,1,0,0,2,0,2,0,0,0,0.46,6.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Options - Map Options,0,0,0,0,0,0,0,1,3,1,0,1,0,0.46,6.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Email,0,0,0,0,0,0,0,2,1,1,1,1,0,0.46,6.0,0.0
Page View - Total Sessions,468_prod,Project Settings - General,0,0,0,0,0,0,0,1,2,0,1,1,0,0.38,5.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Profile Questions,0,0,0,0,0,0,0,2,2,0,0,1,0,0.38,5.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Marketing Assets - Floor Plans,0,0,0,0,0,0,0,1,2,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,468_prod,Project Settings - New Deal Setup,0,0,0,0,0,0,0,1,1,0,0,1,0,0.23,3.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Realtor Commission,0,0,0,0,0,0,0,1,2,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Templates - Automated Emails,0,0,0,0,0,0,0,1,1,0,0,1,0,0.23,3.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Templates - Addenda,0,0,0,0,0,0,0,1,1,0,0,1,0,0.23,3.0,0.0
Page View - Total Sessions,468_prod,Closing,0,0,0,0,0,0,0,0,1,1,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Deposit Reporting (Legacy),0,1,0,0,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Post-Sale Deposit Report,0,0,0,0,0,0,0,0,2,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Payments Reporting (Legacy),0,1,0,0,1,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Project Settings - CRM,0,0,0,0,0,0,0,2,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Documents - Order & Visibility,0,0,0,0,0,0,0,1,1,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Price Model - Color & Custom Status,0,0,0,0,0,0,0,2,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Webhooks,0,0,0,0,0,0,0,2,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Purchaser Realtor Reporting,0,0,2,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Rescissions Reporting,0,1,1,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,468_prod,Demographics Reporting,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Sales Center - Reserved Listings,0,0,0,0,0,0,0,0,0,0,1,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Sales Grid,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Selection Worksheets,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Subjects Reporting,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Marketing Assets - Color Scheme,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Marketing Assets - Floor Plates,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Project Settings - Price Model - Grid Placement,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,468_prod,Purchase Requests,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,484_prod,Untagged Pages,14,116,67,105,136,72,46,72,116,72,87,78,158,87.62,1139.0,78.0
Page View - Total Sessions,484_prod,Dashboard (test),18,112,67,99,93,62,49,58,56,58,56,54,103,68.08,885.0,58.0
Page View - Total Sessions,484_prod,Contracts Dashboard,18,112,67,99,93,62,49,58,56,39,0,0,0,50.23,653.0,56.0
Page View - Total Sessions,484_prod,Contracts - Deal Summary,11,74,42,67,59,38,30,28,32,18,22,42,68,40.85,531.0,38.0
Page View - Total Sessions,484_prod,Document: Sign in Person,8,52,31,49,30,23,11,9,13,7,13,15,35,22.77,296.0,15.0
Page View - Total Sessions,484_prod,Deal Finder,8,43,33,49,43,33,19,18,27,6,0,0,0,21.46,279.0,19.0
Page View - Total Sessions,484_prod,Price model,8,63,29,47,27,3,0,0,0,0,0,0,0,13.62,177.0,0.0
Page View - Total Sessions,484_prod,Purchaser Portal,0,0,2,2,45,11,0,15,43,2,0,0,0,9.23,120.0,2.0
Page View - Total Sessions,484_prod,Email Sent Log,2,14,14,22,15,11,2,2,2,0,0,0,0,6.46,84.0,2.0
Page View - Total Sessions,484_prod,Document: Developer Sign,3,9,9,7,5,4,4,1,4,3,2,2,4,4.38,57.0,4.0
Page View - Total Sessions,484_prod,Excel Reporting,1,11,9,5,4,3,0,0,3,1,0,0,0,2.85,37.0,1.0
Page View - Total Sessions,484_prod,Project Settings,0,1,1,6,4,5,2,0,1,3,2,1,1,2.08,27.0,1.0
Page View - Total Sessions,484_prod,Project Settings - Dashboard,0,1,1,6,4,5,2,0,1,3,2,1,1,2.08,27.0,1.0
Page View - Total Sessions,484_prod,Documents,0,3,4,7,1,2,1,5,2,1,0,0,0,2.0,26.0,1.0
Page View - Total Sessions,484_prod,Purchaser Realtor Reporting,0,2,0,5,2,7,2,1,4,0,0,0,0,1.77,23.0,1.0
Page View - Total Sessions,484_prod,Project Settings - Templates - Emails,0,1,1,4,3,5,2,0,0,0,1,1,0,1.38,18.0,1.0
Page View - Total Sessions,484_prod,New Deal,0,5,0,4,0,3,0,1,0,0,0,0,0,1.0,13.0,0.0
Page View - Total Sessions,484_prod,Leads dashboard,0,1,3,5,0,1,1,0,0,0,0,0,0,0.85,11.0,0.0
Page View - Total Sessions,484_prod,Open and Sign Documents,0,0,0,0,0,2,0,0,0,0,1,2,5,0.77,10.0,0.0
Page View - Total Sessions,484_prod,Contracts - Disclosures & Amendments,0,1,1,1,1,0,0,0,0,0,1,1,2,0.62,8.0,1.0
Page View - Total Sessions,484_prod,Project Settings - Staff Management,0,0,0,0,0,0,0,0,0,3,2,1,1,0.54,7.0,0.0
Page View - Total Sessions,484_prod,Deposit Reporting (Legacy),0,2,0,2,0,1,0,0,0,0,0,0,0,0.38,5.0,0.0
Page View - Total Sessions,484_prod,New Deal grid ,0,1,0,4,0,0,0,0,0,0,0,0,0,0.38,5.0,0.0
Page View - Total Sessions,484_prod,Project Settings - Documents - Manual Upload,0,0,0,2,1,0,0,0,0,0,0,0,0,0.23,3.0,0.0
Page View - Total Sessions,484_prod,Listings,0,0,1,1,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,484_prod,Project Settings - Templates - Addenda,0,0,0,0,1,0,0,0,0,0,0,1,0,0.15,2.0,0.0
Page View - Total Sessions,484_prod,Purchase Requests,0,1,0,1,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,484_prod,Account/Developer/SettingBuildingNew,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,484_prod,Demographics Reporting,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,484_prod,Selection Worksheets,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,484_prod,Project Settings - Listing Setup,0,0,0,0,0,0,1,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,484_prod,Project Settings - Templates - Automated Emails,0,0,0,0,1,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Untagged Pages,17,80,66,53,130,75,39,52,55,90,63,167,190,82.85,1077.0,66.0
Page View - Total Sessions,519_prod,Dashboard (test),17,83,53,60,120,80,42,73,65,70,41,108,127,72.23,939.0,70.0
Page View - Total Sessions,519_prod,Contracts - Deal Summary,13,64,38,52,108,56,24,32,43,42,23,78,115,52.92,688.0,43.0
Page View - Total Sessions,519_prod,Contracts Dashboard,17,83,53,60,120,80,42,73,65,47,0,0,0,49.23,640.0,53.0
Page View - Total Sessions,519_prod,Deal Finder,7,34,27,24,63,49,21,28,30,21,0,0,0,23.38,304.0,24.0
Page View - Total Sessions,519_prod,Document: Developer Sign,7,44,17,18,41,26,8,6,12,12,9,44,43,22.08,287.0,17.0
Page View - Total Sessions,519_prod,Price model,6,68,55,29,44,3,7,2,5,4,0,0,0,17.15,223.0,5.0
Page View - Total Sessions,519_prod,Document: Sign in Person,5,4,0,1,20,10,0,5,1,2,2,22,35,8.23,107.0,4.0
Page View - Total Sessions,519_prod,Listings,0,6,4,10,5,0,3,1,3,4,0,0,0,2.77,36.0,3.0
Page View - Total Sessions,519_prod,Purchaser Portal,0,1,4,2,16,0,0,1,5,3,0,0,0,2.46,32.0,1.0
Page View - Total Sessions,519_prod,Excel Reporting,0,0,4,4,0,0,1,3,4,3,0,0,0,1.46,19.0,0.0
Page View - Total Sessions,519_prod,New Deal,1,1,1,2,3,1,2,0,1,2,0,0,0,1.08,14.0,1.0
Page View - Total Sessions,519_prod,Open and Sign Documents,0,0,0,0,0,1,0,0,0,0,0,5,7,1.0,13.0,0.0
Page View - Total Sessions,519_prod,Purchaser Realtor Reporting,0,1,0,0,3,1,2,0,2,2,0,0,0,0.85,11.0,0.0
Page View - Total Sessions,519_prod,Documents,0,1,1,1,2,1,0,0,0,0,0,0,0,0.46,6.0,0.0
Page View - Total Sessions,519_prod,Project Settings,0,1,1,0,0,0,0,0,2,0,0,2,0,0.46,6.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Dashboard,0,1,1,0,0,0,0,0,2,0,0,2,0,0.46,6.0,0.0
Page View - Total Sessions,519_prod,New Deal grid ,1,0,0,0,3,0,0,0,0,0,0,0,0,0.31,4.0,0.0
Page View - Total Sessions,519_prod,Contracts - Disclosures & Amendments,0,1,0,0,0,0,0,0,0,1,0,1,0,0.23,3.0,0.0
Page View - Total Sessions,519_prod,Deposit Reporting (Legacy),0,1,1,0,0,0,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,519_prod,Email Sent Log,0,1,0,0,0,0,0,1,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,519_prod,Leads dashboard,0,0,0,0,1,1,0,0,0,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Marketing Assets - Floor Plans,0,0,0,0,0,0,0,0,2,0,0,0,0,0.15,2.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Templates - Emails,0,1,0,0,0,0,0,0,0,0,0,1,0,0.15,2.0,0.0
Page View - Total Sessions,519_prod,Contracts - Reporting - Sales Rep Performance,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Account/Developer/SettingBuildingNew,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Documents - Manual Upload,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Documents - Order & Visibility,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - General,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Listing Setup,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Price Model - Grid Placement,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Profile Questions,0,0,1,0,0,0,0,0,0,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,519_prod,Project Settings - Staff Management,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08,1.0,0.0
Page View - Total Sessions,350_prod,Untagged Pages,6,81,51,62,87,53,43,109,107,95,83,189,157,86.38,1123.0,83.0
Page View - Total Sessions,350_prod,Contracts - Deal Summary,4,44,40,43,67,22,43,85,83,64,55,88,92,56.15,730.0,55.0
