Event Title,ID,Tagged Page,"Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,220_prod,Purchaser Portal,12,8,1,0,0,0,3.5,21.0,0.5
Page View - Total Sessions,220_prod,Open and Sign Documents,1,3,3,6,2,1,2.67,16.0,2.5
Page View - Total Sessions,220_prod,Project Settings,0,4,0,4,3,4,2.5,15.0,3.5
Page View - Total Sessions,220_prod,Project Settings - Dashboard,0,4,0,4,3,4,2.5,15.0,3.5
Page View - Total Sessions,220_prod,New Deal,3,5,0,0,0,0,1.33,8.0,0.0
Page View - Total Sessions,220_prod,Project Settings - Documents - Manual Upload,0,0,0,3,1,0,0.67,4.0,0.0
Page View - Total Sessions,220_prod,Demographics Reporting,3,0,0,0,0,0,0.5,3.0,0.0
Page View - Total Sessions,220_prod,Leads dashboard,0,0,1,1,0,1,0.5,3.0,0.5
Page View - Total Sessions,220_prod,Project Settings - Staff Management,0,2,0,0,1,0,0.5,3.0,0.0
Page View - Total Sessions,220_prod,Account/Developer/SettingBuildingNew,0,1,0,1,0,0,0.33,2.0,0.0
Page View - Total Sessions,220_prod,Project Settings - Options - Map Options,0,1,0,1,0,0,0.33,2.0,0.0
Page View - Total Sessions,220_prod,Project Settings - Listing Setup,0,1,0,1,0,0,0.33,2.0,0.0
Page View - Total Sessions,220_prod,Contracts - Disclosures & Amendments,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,220_prod,Documents,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,220_prod,Email Sent Log,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,220_prod,Excel Reporting,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,220_prod,Purchaser Realtor Reporting,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Untagged Pages,155,89,232,237,195,53,160.17,961.0,175.0
Page View - Total Sessions,716_prod,Dashboard (test),43,41,91,126,149,48,83.0,498.0,69.5
Page View - Total Sessions,716_prod,Contracts - Deal Summary,27,24,44,82,98,26,50.17,301.0,35.5
Page View - Total Sessions,716_prod,Document: Developer Sign,20,13,33,46,42,10,27.33,164.0,26.5
Page View - Total Sessions,716_prod,Document: Sign in Person,13,11,21,46,50,13,25.67,154.0,17.0
Page View - Total Sessions,716_prod,Purchaser Portal,78,26,6,0,0,0,18.33,110.0,3.0
Page View - Total Sessions,716_prod,Contracts Dashboard,43,41,21,1,0,0,17.67,106.0,11.0
Page View - Total Sessions,716_prod,Deal Finder,26,23,8,0,0,0,9.5,57.0,4.0
Page View - Total Sessions,716_prod,Excel Reporting,8,5,4,0,0,0,2.83,17.0,2.0
Page View - Total Sessions,716_prod,Open and Sign Documents,0,0,3,3,4,1,1.83,11.0,2.0
Page View - Total Sessions,716_prod,Project Settings,1,1,0,1,3,1,1.17,7.0,1.0
Page View - Total Sessions,716_prod,Project Settings - Dashboard,1,1,0,1,3,1,1.17,7.0,1.0
Page View - Total Sessions,716_prod,Project Settings - Templates - Emails,0,0,0,0,3,0,0.5,3.0,0.0
Page View - Total Sessions,716_prod,Contracts - Reporting - Sales Rep Performance,0,1,0,1,0,0,0.33,2.0,0.0
Page View - Total Sessions,716_prod,Documents,1,1,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,716_prod,New Deal,2,0,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,716_prod,Contracts - Disclosures & Amendments,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Account/Developer/SettingBuildingNew,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Email Sent Log,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Project Settings - Listing Setup,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Project Settings - Staff Management,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Purchaser Realtor Reporting,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Realtor Portal,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,716_prod,Vesa at Little Mountain,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,604_prod,Untagged Pages,70,140,205,164,138,135,142.0,852.0,139.0
Page View - Total Sessions,604_prod,Dashboard (test),61,97,102,73,53,60,74.33,446.0,67.0
Page View - Total Sessions,604_prod,Contracts - Deal Summary,22,77,92,56,56,57,60.0,360.0,56.5
Page View - Total Sessions,604_prod,Contracts Dashboard,61,97,60,0,0,0,36.33,218.0,30.0
Page View - Total Sessions,604_prod,Listings,37,64,35,0,0,0,22.67,136.0,17.5
Page View - Total Sessions,604_prod,Document: Sign in Person,11,33,32,23,12,19,21.67,130.0,21.0
Page View - Total Sessions,604_prod,Document: Developer Sign,7,12,23,10,21,34,17.83,107.0,16.5
Page View - Total Sessions,604_prod,Purchaser Portal,7,30,41,0,0,0,13.0,78.0,3.5
Page View - Total Sessions,604_prod,New Deal,5,7,9,0,0,0,3.5,21.0,2.5
Page View - Total Sessions,604_prod,Contracts - Disclosures & Amendments,2,2,3,4,3,3,2.83,17.0,3.0
Page View - Total Sessions,604_prod,Open and Sign Documents,0,4,3,1,2,5,2.5,15.0,2.5
Page View - Total Sessions,604_prod,Documents,2,2,2,0,0,0,1.0,6.0,1.0
