Event Title,ID,Tagged Page,"Jan 1, 2026","Feb 1, 2026","Mar 1, 2026","Apr 1, 2026","May 1, 2026","Jun 1, 2026",Average,Total,Median
Page View - Total Sessions,457_prod,Project Settings - New Deal Setup,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,457_prod,Project Settings - Options - Map Options,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,457_prod,Project Settings - CRM,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,457_prod,Project Settings - Documents - Order & Visibility,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,457_prod,Project Settings - Email,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,457_prod,Project Settings - Templates - Addenda,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,419_prod,Untagged Pages,323,288,328,226,267,289,286.83,1721.0,288.5
Page View - Total Sessions,419_prod,Contracts - Deal Summary,121,126,152,153,164,133,141.5,849.0,142.5
Page View - Total Sessions,419_prod,Dashboard (test),110,119,141,148,167,127,135.33,812.0,134.0
Page View - Total Sessions,419_prod,Document: Developer Sign,63,86,95,82,83,82,81.83,491.0,82.5
Page View - Total Sessions,419_prod,Purchaser Portal,167,124,89,0,0,0,63.33,380.0,44.5
Page View - Total Sessions,419_prod,Contracts Dashboard,110,119,85,0,0,0,52.33,314.0,42.5
Page View - Total Sessions,419_prod,Document: Sign in Person,56,42,46,59,53,37,48.83,293.0,49.5
Page View - Total Sessions,419_prod,Deal Finder,98,94,70,0,0,0,43.67,262.0,35.0
Page View - Total Sessions,419_prod,Project Settings,30,31,28,37,38,26,31.67,190.0,30.5
Page View - Total Sessions,419_prod,Project Settings - Dashboard,30,31,28,37,35,26,31.17,187.0,30.5
Page View - Total Sessions,419_prod,Account/Developer/SettingBuildingNew,13,19,24,26,20,21,20.5,123.0,20.5
Page View - Total Sessions,419_prod,Project Settings - Listing Setup,13,19,24,26,20,21,20.5,123.0,20.5
Page View - Total Sessions,419_prod,Listings,43,42,25,0,0,0,18.33,110.0,12.5
Page View - Total Sessions,419_prod,Project Settings - Marketing Assets - Floor Plans,9,10,10,14,14,10,11.17,67.0,10.0
Page View - Total Sessions,419_prod,Excel Reporting,15,24,22,0,0,0,10.17,61.0,7.5
Page View - Total Sessions,419_prod,Email Sent Log,19,25,14,0,0,0,9.67,58.0,7.0
Page View - Total Sessions,419_prod,Project Settings - Templates - Emails,6,7,10,15,11,4,8.83,53.0,8.5
Page View - Total Sessions,419_prod,Project Settings - Documents - Manual Upload,15,8,8,8,6,2,7.83,47.0,8.0
Page View - Total Sessions,419_prod,Project Settings - Staff Management,8,11,8,7,5,5,7.33,44.0,7.5
Page View - Total Sessions,419_prod,Purchaser Realtor Reporting,20,14,9,0,0,0,7.17,43.0,4.5
Page View - Total Sessions,419_prod,Documents,14,14,9,0,0,0,6.17,37.0,4.5
Page View - Total Sessions,419_prod,Project Settings - Options - Map Options,2,1,3,6,12,2,4.33,26.0,2.5
Page View - Total Sessions,419_prod,Project Settings - Email,2,5,4,9,2,2,4.0,24.0,3.0
Page View - Total Sessions,419_prod,Project Settings - Documents - Order & Visibility,4,3,6,2,3,0,3.0,18.0,3.0
Page View - Total Sessions,419_prod,Contracts - Disclosures & Amendments,0,2,3,7,5,0,2.83,17.0,2.5
Page View - Total Sessions,419_prod,New Deal,2,9,6,0,0,0,2.83,17.0,1.0
Page View - Total Sessions,419_prod,Leads dashboard,0,1,2,4,3,1,1.83,11.0,1.5
Page View - Total Sessions,419_prod,Open and Sign Documents,0,1,3,3,1,1,1.5,9.0,1.0
Page View - Total Sessions,419_prod,Project Settings - General,1,1,2,3,1,0,1.33,8.0,1.0
Page View - Total Sessions,419_prod,Setting - System Override,1,0,3,1,2,0,1.17,7.0,1.0
Page View - Total Sessions,419_prod,Project Settings - Templates - Addenda,1,1,2,3,0,0,1.17,7.0,1.0
Page View - Total Sessions,419_prod,Purchase Requests,4,2,1,0,0,0,1.17,7.0,0.5
Page View - Total Sessions,419_prod,Project Settings - Marketing Assets - Floor Plates,0,1,2,1,1,1,1.0,6.0,1.0
Page View - Total Sessions,419_prod,Project Settings - Price Model - Color & Custom Status,0,2,2,0,2,0,1.0,6.0,1.0
Page View - Total Sessions,419_prod,Project Settings - Marketing Assets - Color Scheme,0,2,1,1,0,0,0.67,4.0,0.5
Page View - Total Sessions,419_prod,Project Settings - Price Model - Grid Placement,0,0,3,0,1,0,0.67,4.0,0.0
Page View - Total Sessions,419_prod,Project Settings - Realtor Commission,0,0,1,3,0,0,0.67,4.0,0.0
Page View - Total Sessions,419_prod,Project Settings - Templates - Automated Emails,0,0,1,3,0,0,0.67,4.0,0.0
Page View - Total Sessions,419_prod,Project Settings - Webhooks,0,0,1,3,0,0,0.67,4.0,0.0
Page View - Total Sessions,419_prod,Rescissions Reporting,0,2,2,0,0,0,0.67,4.0,0.0
Page View - Total Sessions,419_prod,Sales Center - Backup Offers,1,0,0,1,0,1,0.5,3.0,0.5
Page View - Total Sessions,419_prod,Project Settings - CRM,0,0,0,3,0,0,0.5,3.0,0.0
Page View - Total Sessions,419_prod,Project Settings - Profile Questions,0,0,0,3,0,0,0.5,3.0,0.0
Page View - Total Sessions,419_prod,Contracts - Reporting - Sales Rep Performance,0,0,0,1,1,0,0.33,2.0,0.0
Page View - Total Sessions,419_prod,Closing,1,1,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,419_prod,Demographics Reporting,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,419_prod,Deposit Reporting (Legacy),0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,419_prod,Subjects Reporting,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,419_prod,Payments Reporting (Legacy),0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Untagged Pages,168,168,285,425,361,144,258.5,1551.0,226.5
Page View - Total Sessions,444_prod,Dashboard (test),201,196,308,317,312,144,246.33,1478.0,254.5
Page View - Total Sessions,444_prod,Contracts - Deal Summary,169,170,233,257,248,113,198.33,1190.0,201.5
Page View - Total Sessions,444_prod,Contracts Dashboard,201,196,198,0,0,0,99.17,595.0,98.0
Page View - Total Sessions,444_prod,Document: Developer Sign,78,91,94,116,104,43,87.67,526.0,92.5
Page View - Total Sessions,444_prod,Document: Sign in Person,10,11,45,51,43,16,29.33,176.0,29.5
Page View - Total Sessions,444_prod,New Deal,5,18,50,0,0,0,12.17,73.0,2.5
Page View - Total Sessions,444_prod,Project Settings,6,13,13,6,7,0,7.5,45.0,6.5
Page View - Total Sessions,444_prod,Open and Sign Documents,1,3,4,14,17,3,7.0,42.0,3.5
Page View - Total Sessions,444_prod,Project Settings - Dashboard,5,12,12,5,5,0,6.5,39.0,5.0
Page View - Total Sessions,444_prod,Deal Finder,7,10,15,0,0,0,5.33,32.0,3.5
Page View - Total Sessions,444_prod,Purchaser Portal,3,0,18,0,0,0,3.5,21.0,0.0
Page View - Total Sessions,444_prod,Account/Developer/SettingBuildingNew,2,6,5,3,3,0,3.17,19.0,3.0
Page View - Total Sessions,444_prod,Project Settings - Listing Setup,2,6,5,3,3,0,3.17,19.0,3.0
Page View - Total Sessions,444_prod,Setting - System Override,1,3,3,2,2,0,1.83,11.0,2.0
Page View - Total Sessions,444_prod,Project Settings - Documents - Manual Upload,3,3,3,2,0,0,1.83,11.0,2.5
Page View - Total Sessions,444_prod,Email Sent Log,0,0,9,0,0,0,1.5,9.0,0.0
Page View - Total Sessions,444_prod,Excel Reporting,2,3,2,0,0,0,1.17,7.0,1.0
Page View - Total Sessions,444_prod,Project Settings - Options - Map Options,1,3,0,0,3,0,1.17,7.0,0.5
Page View - Total Sessions,444_prod,Project Settings - Marketing Assets - Floor Plates,0,3,0,0,0,0,0.5,3.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Price Model - Grid Placement,1,2,0,0,0,0,0.5,3.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Staff Management,1,0,2,0,0,0,0.5,3.0,0.0
Page View - Total Sessions,444_prod,Contracts - Disclosures & Amendments,0,0,0,0,1,1,0.33,2.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Marketing Assets - Color Scheme,0,2,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Marketing Assets - Floor Plans,0,2,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Price Model - Color & Custom Status,1,1,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,444_prod,Closing,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Offplan Map,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Leads dashboard,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Listings,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - CRM,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Documents - Order & Visibility,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Email,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - General,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Profile Questions,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Realtor Commission,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Project Settings - Webhooks,0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,444_prod,Purchaser Realtor Reporting,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Untagged Pages,152,406,349,453,452,189,333.5,2001.0,377.5
Page View - Total Sessions,466_prod,Dashboard (test),111,245,231,307,254,111,209.83,1259.0,238.0
Page View - Total Sessions,466_prod,Contracts - Deal Summary,52,169,116,213,191,75,136.0,816.0,142.5
Page View - Total Sessions,466_prod,Contracts Dashboard,111,245,136,0,0,0,82.0,492.0,55.5
Page View - Total Sessions,466_prod,Document: Sign in Person,18,93,63,122,82,40,69.67,418.0,72.5
Page View - Total Sessions,466_prod,Document: Developer Sign,18,49,30,52,58,22,38.17,229.0,39.5
Page View - Total Sessions,466_prod,Deal Finder,39,97,45,0,0,0,30.17,181.0,19.5
Page View - Total Sessions,466_prod,Purchaser Portal,10,72,24,0,0,0,17.67,106.0,5.0
Page View - Total Sessions,466_prod,Open and Sign Documents,1,8,4,11,14,6,7.33,44.0,7.0
Page View - Total Sessions,466_prod,Project Settings,1,2,3,8,10,1,4.17,25.0,2.5
Page View - Total Sessions,466_prod,Project Settings - Dashboard,1,2,3,8,10,1,4.17,25.0,2.5
Page View - Total Sessions,466_prod,Excel Reporting,8,11,5,0,0,0,4.0,24.0,2.5
Page View - Total Sessions,466_prod,New Deal,2,13,4,0,0,0,3.17,19.0,1.0
Page View - Total Sessions,466_prod,Project Settings - Staff Management,1,1,2,4,7,1,2.67,16.0,1.5
Page View - Total Sessions,466_prod,Contracts - Disclosures & Amendments,0,2,1,3,6,2,2.33,14.0,2.0
Page View - Total Sessions,466_prod,Email Sent Log,0,4,0,0,0,0,0.67,4.0,0.0
Page View - Total Sessions,466_prod,Contracts - Reporting - Sales Rep Performance,0,1,0,2,0,0,0.5,3.0,0.0
Page View - Total Sessions,466_prod,Documents,1,1,1,0,0,0,0.5,3.0,0.5
Page View - Total Sessions,466_prod,Project Settings - General,0,0,0,3,0,0,0.5,3.0,0.0
Page View - Total Sessions,466_prod,Account/Developer/SettingBuildingNew,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Listings,1,1,0,0,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - New Deal Setup,0,1,0,1,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - CRM,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Email,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Listing Setup,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Profile Questions,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Realtor Commission,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Templates - Addenda,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Templates - Emails,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Webhooks,0,0,0,2,0,0,0.33,2.0,0.0
Page View - Total Sessions,466_prod,Demographics Reporting,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Sales Center - Backup Offers,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Sales Center - Reserved Listings,0,0,0,0,1,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Subjects Reporting,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Payments Reporting (Legacy),0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Price model,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Marketing Assets - Floor Plans,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Options - Map Options,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Documents - Manual Upload,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Documents - Order & Visibility,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Project Settings - Templates - Automated Emails,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,466_prod,Purchaser Realtor Reporting,0,1,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,411_prod,Untagged Pages,261,493,397,260,235,179,304.17,1825.0,260.5
Page View - Total Sessions,411_prod,Dashboard (test),167,191,180,173,164,108,163.83,983.0,170.0
Page View - Total Sessions,411_prod,Contracts - Deal Summary,137,173,161,157,114,96,139.67,838.0,147.0
Page View - Total Sessions,411_prod,Contracts Dashboard,167,191,116,0,0,0,79.0,474.0,58.0
Page View - Total Sessions,411_prod,Purchaser Portal,67,258,125,1,0,0,75.17,451.0,34.0
Page View - Total Sessions,411_prod,Document: Developer Sign,70,93,88,77,61,51,73.33,440.0,73.5
Page View - Total Sessions,411_prod,Deal Finder,88,122,72,0,0,0,47.0,282.0,36.0
Page View - Total Sessions,411_prod,Document: Sign in Person,10,63,36,23,9,14,25.83,155.0,18.5
Page View - Total Sessions,411_prod,Email Sent Log,5,23,11,0,0,0,6.5,39.0,2.5
Page View - Total Sessions,411_prod,New Deal,9,10,4,0,0,0,3.83,23.0,2.0
Page View - Total Sessions,411_prod,Excel Reporting,4,5,7,0,0,0,2.67,16.0,2.0
Page View - Total Sessions,411_prod,Open and Sign Documents,1,3,2,4,0,3,2.17,13.0,2.5
Page View - Total Sessions,411_prod,Documents,3,1,5,0,0,0,1.5,9.0,0.5
Page View - Total Sessions,411_prod,Project Settings,1,1,0,3,0,0,0.83,5.0,0.5
Page View - Total Sessions,411_prod,Project Settings - Dashboard,1,1,0,3,0,0,0.83,5.0,0.5
Page View - Total Sessions,411_prod,Contracts - Disclosures & Amendments,1,2,1,0,0,0,0.67,4.0,0.5
Page View - Total Sessions,411_prod,Project Settings - Documents - Manual Upload,1,0,0,3,0,0,0.67,4.0,0.0
Page View - Total Sessions,411_prod,Purchaser Realtor Reporting,2,0,2,0,0,0,0.67,4.0,0.0
Page View - Total Sessions,411_prod,Listings,2,1,0,0,0,0,0.5,3.0,0.0
Page View - Total Sessions,411_prod,Contracts - Reporting - Sales Rep Performance,1,0,0,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,411_prod,Deposit Reporting (Legacy),0,0,1,0,0,0,0.17,1.0,0.0
Page View - Total Sessions,411_prod,Project Settings - Documents - Order & Visibility,0,0,0,1,0,0,0.17,1.0,0.0
Page View - Total Sessions,728_prod,Untagged Pages,288,293,308,364,230,188,278.5,1671.0,290.5
Page View - Total Sessions,728_prod,Dashboard (test),201,208,214,233,166,97,186.5,1119.0,204.5
Page View - Total Sessions,728_prod,Contracts - Deal Summary,171,175,146,207,122,81,150.33,902.0,158.5
Page View - Total Sessions,728_prod,Contracts Dashboard,201,208,109,0,0,0,86.33,518.0,54.5
Page View - Total Sessions,728_prod,Document: Sign in Person,77,80,69,108,57,48,73.17,439.0,73.0
Page View - Total Sessions,728_prod,Document: Developer Sign,70,66,57,94,41,38,61.0,366.0,61.5
Page View - Total Sessions,728_prod,Listings,45,45,24,0,0,0,19.0,114.0,12.0
Page View - Total Sessions,728_prod,Purchaser Portal,38,29,4,0,0,0,11.83,71.0,2.0
Page View - Total Sessions,728_prod,Documents,35,23,12,0,0,0,11.67,70.0,6.0
Page View - Total Sessions,728_prod,Deal Finder,12,14,3,0,0,0,4.83,29.0,1.5
